,Train,Test
a loanAmount-GTE-25 b => a approval-True b,0.26285636338835083,0.14537709245815084
a rate-GTE-25 b & a rate-LTE-75 b => a approval-True b,0.49468012549447554,0.10883782324353512
a rate-LTE-75 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.63504296821716,0.32123357532849345
a income-GTE-25 b => a approval-False b,0.3023998153988155,0.43856122877542447
a monthDuration-GTE-75 b => a approval-False b,0.7788247057918621,0.6883962320753585
a creditScore-GTE-25 b => a approval-False b,0.24867317898623184,0.35927281454370913
a loanAmount-LTE-75 b => a approval-False b,0.3185908776247981,0.4717105657886842
a income-GTE-50 b & a monthDuration-GTE-75 b => a approval-False b,0.4339666179524652,0.39527209455810886
a income-GTE-75 b & a income/yearlyReimbursement-GTE-75 b => a approval-False b,0.7793823552034459,0.7010859782804344
a rate-GTE-75 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.46679101607568646,0.4187016259674807
a income/yearlyReimbursement-GTE-75 b & a income/yearlyReimbursement-LTE-50 b => a approval-False b,0.31955234212752864,0.24755504889902202
a income-GTE-50 b & a loanAmount-GTE-75 b => a approval-False b,0.40898777017152527,0.31466370672586547
a income/yearlyReimbursement-GTE-75 b & a loanAmount-LTE-50 b => a approval-False b,0.6181639873855858,0.7045359092818143
a income-GTE-75 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.2890465148001637,0.619517609647807
a creditScore-LTE-50 b & a income-LTE-75 b => a approval-True b,0.29163824853362436,0.14372712545749086
a monthDuration-GTE-50 b & a rate-GTE-25 b => a approval-True b,0.5018414950211431,0.2138357232855343
a income/yearlyReimbursement-GTE-75 b => a approval-False b,0.9600223059764633,0.9684406311873762
a income-GTE-75 b & a loanAmount-LTE-50 b => a approval-False b,0.47846319513883545,0.46943061138777226
a creditScore-GTE-50 b & a loanAmount-LTE-25 b => a approval-False b,0.44129297746327206,0.4283614327713446
a income-GTE-50 b & a loanAmount-LTE-50 b => a approval-False b,0.319879240058457,0.4120717585648287
a income-GTE-50 b & a monthDuration-LTE-75 b => a approval-True b,0.48015277588323557,0.20663586728265435
